Name,Position,Meta_Data
boxA_0,"[0, 0, 0]","boxA_0(6.000x5.000x2.000, weight: 2.000) pos([0, 0, 0]) rt(0) vol(60.000)"
boxA_1,"[Decimal('6.000'), 0, 0]","boxA_1(6.000x5.000x2.000, weight: 2.000) pos([Decimal('6.000'), 0, 0]) rt(0) vol(60.000)"
boxA_2,"[Decimal('12.000'), 0, 0]","boxA_2(6.000x5.000x2.000, weight: 2.000) pos([Decimal('12.000'), 0, 0]) rt(3) vol(60.000)"
boxA_3,"[0, Decimal('5.000'), 0]","boxA_3(6.000x5.000x2.000, weight: 2.000) pos([0, Decimal('5.000'), 0]) rt(0) vol(60.000)"
boxA_4,"[Decimal('6.000'), Decimal('5.000'), 0]","boxA_4(6.000x5.000x2.000, weight: 2.000) pos([Decimal('6.000'), Decimal('5.000'), 0]) rt(0) vol(60.000)"
boxA_5,"[Decimal('12.000'), Decimal('5.000'), 0]","boxA_5(6.000x5.000x2.000, weight: 2.000) pos([Decimal('12.000'), Decimal('5.000'), 0]) rt(3) vol(60.000)"
boxA_6,"[0, Decimal('10.000'), 0]","boxA_6(6.000x5.000x2.000, weight: 2.000) pos([0, Decimal('10.000'), 0]) rt(0) vol(60.000)"
boxA_7,"[Decimal('6.000'), Decimal('10.000'), 0]","boxA_7(6.000x5.000x2.000, weight: 2.000) pos([Decimal('6.000'), Decimal('10.000'), 0]) rt(0) vol(60.000)"
boxA_8,"[Decimal('12.000'), Decimal('10.000'), 0]","boxA_8(6.000x5.000x2.000, weight: 2.000) pos([Decimal('12.000'), Decimal('10.000'), 0]) rt(3) vol(60.000)"
boxA_9,"[0, Decimal('15.000'), 0]","boxA_9(6.000x5.000x2.000, weight: 2.000) pos([0, Decimal('15.000'), 0]) rt(2) vol(60.000)"
boxA_10,"[Decimal('5.000'), Decimal('15.000'), 0]","boxA_10(6.000x5.000x2.000, weight: 2.000) pos([Decimal('5.000'), Decimal('15.000'), 0]) rt(2) vol(60.000)"
boxA_11,"[Decimal('10.000'), Decimal('15.000'), 0]","boxA_11(6.000x5.000x2.000, weight: 2.000) pos([Decimal('10.000'), Decimal('15.000'), 0]) rt(2) vol(60.000)"
boxA_12,"[0, 0, Decimal('2.000')]","boxA_12(6.000x5.000x2.000, weight: 2.000) pos([0, 0, Decimal('2.000')]) rt(0) vol(60.000)"
boxA_13,"[Decimal('6.000'), 0, Decimal('2.000')]","boxA_13(6.000x5.000x2.000, weight: 2.000) pos([Decimal('6.000'), 0, Decimal('2.000')]) rt(0) vol(60.000)"
boxA_14,"[0, Decimal('5.000'), Decimal('2.000')]","boxA_14(6.000x5.000x2.000, weight: 2.000) pos([0, Decimal('5.000'), Decimal('2.000')]) rt(0) vol(60.000)"
boxA_15,"[Decimal('6.000'), Decimal('5.000'), Decimal('2.000')]","boxA_15(6.000x5.000x2.000, weight: 2.000) pos([Decimal('6.000'), Decimal('5.000'), Decimal('2.000')]) rt(0) vol(60.000)"
boxA_16,"[0, Decimal('10.000'), Decimal('2.000')]","boxA_16(6.000x5.000x2.000, weight: 2.000) pos([0, Decimal('10.000'), Decimal('2.000')]) rt(0) vol(60.000)"
boxA_17,"[Decimal('6.000'), Decimal('10.000'), Decimal('2.000')]","boxA_17(6.000x5.000x2.000, weight: 2.000) pos([Decimal('6.000'), Decimal('10.000'), Decimal('2.000')]) rt(0) vol(60.000)"
boxA_18,"[Decimal('12.000'), 0, Decimal('6.000')]","boxA_18(6.000x5.000x2.000, weight: 2.000) pos([Decimal('12.000'), 0, Decimal('6.000')]) rt(3) vol(60.000)"
boxA_19,"[Decimal('12.000'), Decimal('5.000'), Decimal('6.000')]","boxA_19(6.000x5.000x2.000, weight: 2.000) pos([Decimal('12.000'), Decimal('5.000'), Decimal('6.000')]) rt(3) vol(60.000)"
boxB_0,"[Decimal('12.000'), Decimal('10.000'), Decimal('6.000')]","boxB_0(6.000x5.000x2.000, weight: 2.000) pos([Decimal('12.000'), Decimal('10.000'), Decimal('6.000')]) rt(3) vol(60.000)"
boxB_1,"[0, Decimal('15.000'), Decimal('6.000')]","boxB_1(6.000x5.000x2.000, weight: 2.000) pos([0, Decimal('15.000'), Decimal('6.000')]) rt(2) vol(60.000)"
boxB_2,"[Decimal('5.000'), Decimal('15.000'), Decimal('6.000')]","boxB_2(6.000x5.000x2.000, weight: 2.000) pos([Decimal('5.000'), Decimal('15.000'), Decimal('6.000')]) rt(2) vol(60.000)"
boxB_3,"[Decimal('10.000'), Decimal('15.000'), Decimal('6.000')]","boxB_3(6.000x5.000x2.000, weight: 2.000) pos([Decimal('10.000'), Decimal('15.000'), Decimal('6.000')]) rt(2) vol(60.000)"
boxB_4,"[0, 0, Decimal('4.000')]","boxB_4(6.000x5.000x2.000, weight: 2.000) pos([0, 0, Decimal('4.000')]) rt(0) vol(60.000)"
boxB_5,"[Decimal('6.000'), 0, Decimal('4.000')]","boxB_5(6.000x5.000x2.000, weight: 2.000) pos([Decimal('6.000'), 0, Decimal('4.000')]) rt(0) vol(60.000)"
boxB_6,"[0, Decimal('5.000'), Decimal('4.000')]","boxB_6(6.000x5.000x2.000, weight: 2.000) pos([0, Decimal('5.000'), Decimal('4.000')]) rt(0) vol(60.000)"
boxB_7,"[Decimal('6.000'), Decimal('5.000'), Decimal('4.000')]","boxB_7(6.000x5.000x2.000, weight: 2.000) pos([Decimal('6.000'), Decimal('5.000'), Decimal('4.000')]) rt(0) vol(60.000)"
boxB_8,"[0, Decimal('10.000'), Decimal('4.000')]","boxB_8(6.000x5.000x2.000, weight: 2.000) pos([0, Decimal('10.000'), Decimal('4.000')]) rt(0) vol(60.000)"
boxB_9,"[Decimal('6.000'), Decimal('10.000'), Decimal('4.000')]","boxB_9(6.000x5.000x2.000, weight: 2.000) pos([Decimal('6.000'), Decimal('10.000'), Decimal('4.000')]) rt(0) vol(60.000)"
boxB_10,"[Decimal('12.000'), 0, Decimal('12.000')]","boxB_10(6.000x5.000x2.000, weight: 2.000) pos([Decimal('12.000'), 0, Decimal('12.000')]) rt(3) vol(60.000)"
boxB_11,"[Decimal('12.000'), Decimal('5.000'), Decimal('12.000')]","boxB_11(6.000x5.000x2.000, weight: 2.000) pos([Decimal('12.000'), Decimal('5.000'), Decimal('12.000')]) rt(3) vol(60.000)"
boxB_12,"[Decimal('12.000'), Decimal('10.000'), Decimal('12.000')]","boxB_12(6.000x5.000x2.000, weight: 2.000) pos([Decimal('12.000'), Decimal('10.000'), Decimal('12.000')]) rt(3) vol(60.000)"
boxB_13,"[0, Decimal('15.000'), Decimal('12.000')]","boxB_13(6.000x5.000x2.000, weight: 2.000) pos([0, Decimal('15.000'), Decimal('12.000')]) rt(2) vol(60.000)"
boxB_14,"[Decimal('5.000'), Decimal('15.000'), Decimal('12.000')]","boxB_14(6.000x5.000x2.000, weight: 2.000) pos([Decimal('5.000'), Decimal('15.000'), Decimal('12.000')]) rt(2) vol(60.000)"
boxB_15,"[Decimal('10.000'), Decimal('15.000'), Decimal('12.000')]","boxB_15(6.000x5.000x2.000, weight: 2.000) pos([Decimal('10.000'), Decimal('15.000'), Decimal('12.000')]) rt(2) vol(60.000)"
boxB_16,"[0, 0, Decimal('6.000')]","boxB_16(6.000x5.000x2.000, weight: 2.000) pos([0, 0, Decimal('6.000')]) rt(0) vol(60.000)"
boxB_17,"[Decimal('6.000'), 0, Decimal('6.000')]","boxB_17(6.000x5.000x2.000, weight: 2.000) pos([Decimal('6.000'), 0, Decimal('6.000')]) rt(0) vol(60.000)"
boxB_18,"[0, Decimal('5.000'), Decimal('6.000')]","boxB_18(6.000x5.000x2.000, weight: 2.000) pos([0, Decimal('5.000'), Decimal('6.000')]) rt(0) vol(60.000)"
boxB_19,"[Decimal('6.000'), Decimal('5.000'), Decimal('6.000')]","boxB_19(6.000x5.000x2.000, weight: 2.000) pos([Decimal('6.000'), Decimal('5.000'), Decimal('6.000')]) rt(0) vol(60.000)"
boxC_0,"[0, Decimal('10.000'), Decimal('6.000')]","boxC_0(6.000x5.000x2.000, weight: 2.000) pos([0, Decimal('10.000'), Decimal('6.000')]) rt(0) vol(60.000)"
boxC_1,"[Decimal('6.000'), Decimal('10.000'), Decimal('6.000')]","boxC_1(6.000x5.000x2.000, weight: 2.000) pos([Decimal('6.000'), Decimal('10.000'), Decimal('6.000')]) rt(0) vol(60.000)"
boxC_2,"[0, 0, Decimal('8.000')]","boxC_2(6.000x5.000x2.000, weight: 2.000) pos([0, 0, Decimal('8.000')]) rt(0) vol(60.000)"
boxC_3,"[Decimal('6.000'), 0, Decimal('8.000')]","boxC_3(6.000x5.000x2.000, weight: 2.000) pos([Decimal('6.000'), 0, Decimal('8.000')]) rt(0) vol(60.000)"
boxC_4,"[0, Decimal('5.000'), Decimal('8.000')]","boxC_4(6.000x5.000x2.000, weight: 2.000) pos([0, Decimal('5.000'), Decimal('8.000')]) rt(0) vol(60.000)"
boxC_5,"[Decimal('6.000'), Decimal('5.000'), Decimal('8.000')]","boxC_5(6.000x5.000x2.000, weight: 2.000) pos([Decimal('6.000'), Decimal('5.000'), Decimal('8.000')]) rt(0) vol(60.000)"
boxC_6,"[0, Decimal('10.000'), Decimal('8.000')]","boxC_6(6.000x5.000x2.000, weight: 2.000) pos([0, Decimal('10.000'), Decimal('8.000')]) rt(0) vol(60.000)"
boxC_7,"[Decimal('6.000'), Decimal('10.000'), Decimal('8.000')]","boxC_7(6.000x5.000x2.000, weight: 2.000) pos([Decimal('6.000'), Decimal('10.000'), Decimal('8.000')]) rt(0) vol(60.000)"
boxC_8,"[0, 0, Decimal('10.000')]","boxC_8(6.000x5.000x2.000, weight: 2.000) pos([0, 0, Decimal('10.000')]) rt(0) vol(60.000)"
